aabbbabbabaabaa aabaaaabbabaabb
abaaabbaaaabbab aaaabaaaaabbaba
aaaabaaaaabbaba aabbababbabaaaa
aabbababbabaaaa aaaaababababbba
aaaaababababbba abaabaaaaaaaaba
abaabaaaaaaaaba ababbaababaabba
ababbaababaabba aabbabbbaababab
aabbabbbaababab aaaabbabbbaabbb
aaaabbabbbaabbb aababbbababbbab
aababbbababbbab aaabababaabbbab
aaabababaabbbab aaaaaaabbbbbbab
aaaaaaabbbbbbab aaababbbbabaaba
aaababbbbabaaba ababbabbaaaaabb
ababbabbaaaaabb aababaabbbabbbb
aababaabbbabbbb aabaababbabaabb
aabaababbabaabb ababaaaabababab
ababaaaabababab ababaabbbaaaabb
ababaabbbaaaabb aaababababbabaa
aaababababbabaa aaaaabbbbbaaaab
aaaaabbbbbaaaab aabababaaababab
aabababaaababab abaababaabbbbbb
abaababaabbbbbb aabbbaaabbbabaa
aabbbaaabbbabaa ababaababbababa
ababaababbababa ababababbaabbaa
ababababbaabbaa abaaaabbbabbbbb
abaaaabbbabbbbb aaaaaaaaabaaaab
aaaaaaaaabaaaab ababbababbbbabb
ababbababbbbabb aabbabbbbbabbba
aabbabbbbbabbba aabbbabababbabb
aabbbabababbabb ababaaabbbaabab
ababaaabbbaabab aaaabbbabbabbba
aaaabbbabbabbba abaaaaabbbbaaba
abaaaaabbbbaaba abaabababaabaab
abaabababaabaab aaaaabaaaabbaba
aaaaabaaaabbaba aaabbababababaa
aaabbababababaa abaaabaaabababa
abaaabaaabababa aabbaaaaaaabbba
aabbaaaaaaabbba aabbbbabaaaaaab
aabbbbabaaaaaab abaaaabaaaaabaa
abaaaabaaaaabaa aabaabbbabaabaa
aabaabbbabaabaa aaaaababbaabaab
aaaaababbaabaab aabbaabbaabbbbb
aabbaabbaabbbbb aabbbbaaaaaaaaa
aabbbbaaaaaaaaa aaabbabaabbbaba
aaabbabaabbbaba aababbbabaabaaa
aababbbabaabaaa aaabaabaaaaabbb
aaabaabaaaaabbb abaabbaabbbbabb
abaabbaabbbbabb aabaabaaabbbbaa
aabaabaaabbbbaa aabaabaaabbaabb
aabaabaaabbaabb aababaaaababbaa
aababaaaababbaa aaaaaabbaaababa
aaaaaabbaaababa aabaaaababbbaab
aabaaaababbbaab aabbaaabaabbaab
aabbaaabaabbaab aaabababaabbaba
aaabababaabbaba abaabbabbbabaab
abaabbabbbabaab abaabbbaabbaaaa
abaabbbaabbaaaa aabbabaaaaababa
aabbabaaaaababa aaabbbabaabbbbb
aaabbbabaabbbbb aaabbbabaabaabb
aaabbbabaabaabb aaabbbaaababbba
aaabbbaaababbba abaababaaabbbbb
abaababaaabbbbb aabababaaaababb
aabababaaaababb abaaaaaaaaababa
abaaaaaaaaababa abaabbbbabbbaab
abaabbbbabbbaab aababbaaabaaabb
aababbaaabaaabb aaabaabbaaabbaa
aaabaabbaaabbaa aaaaababbbbaabb
aaaaababbbbaabb aaabbaababbaabb
aaabbaababbaabb aabaabbabbaaaab
aabaabbabbaaaab aababbbbbaaabbb
aababbbbbaaabbb aaababaabbbabab
aaababaabbbabab aaaababbaaaabab
aaaababbaaaabab aaaaaaaabbaaaba
aaaaaaaabbaaaba aaabaabaabaabab
aaabaabaabaabab aabaaabbabbbaba
aabaaabbabbbaba aabbaabaaaaaaba
aabbaabaaaaaaba aaabbaaaabbbaaa
aaabbaaaabbbaaa aaaabaabaaabbba
aaaabaabaaabbba aabbababaababbb
aabbababaababbb aabbbaabbbabbaa
aabbbaabbbabbaa aabbbaaabbaabbb
aabbbaaabbaabbb abababbaabaaaba
abababbaabaaaba abaaaaababaabbb
abaaaaababaabbb abaaaabaabaaaba
abaaaabaabaaaba aabbaabbbbbbbbb
aabbaabbbbbbbbb abaaabbabaaaaba
abaaabbabaaaaba aababbaaaaabaaa
aababbaaaaabaaa ababbabbaabbbba
ababbabbaabbbba abaaabbbaabaaab
abaaabbbaabaaab ababbaaaabbbabb
ababbaaaabbbabb aaabaaabaabbaaa
aaabaaabaabbaaa aaaabbbaaabbbba
aaaabbbaaabbbba abababbabbbabab
abababbabbbabab aaabbbabbbabbba
aaabbbabbbabbba aabaababbabbaab
aabaababbabbaab aabaabbaabbbabb
aabaabbaabbbabb aaabbaabbbabbaa
aaabbaabbbabbaa ababbaabbbaaaab
ababbaabbbaaaab aababaabbaabbbb
aababaabbaabbbb aabaaababbbbbba
aabaaababbbbbba aaabbbbababbbbb
aaabbbbababbbbb abababbbabbabba
abababbbabbabba aaaabaaabbbbbba
aaaabaaabbbbbba aabbababbabbaaa
aabbababbabbaaa abaaaababaabbab
abaaaababaabbab abaabbbbbbabaab
abaabbbbbbabaab aaababbbaabaabb
aaababbbaabaabb aaabbbbaaaaabab
aaabbbbaaaaabab aabbbaaabbbbabb
aabbbaaabbbbabb aaaaaaabbbaaaab
aaaaaaabbbaaaab abaababbbbabbbb
abaababbbbabbbb aaabbabababbbba
aaabbabababbbba aababbbabaaaaba
aababbbabaaaaba aabbbabbbbbabab
aabbbabbbbbabab aaaabbbbbaaaabb
aaaabbbbbaaaabb aaaabbabbbababa
aaaabbabbbababa aaaabaabbaabbba
aaaabaabbaabbba abaabababaaaabb
abaabababaaaabb aaabaababbaaabb
aaabaababbaaabb abaaaababbaaaaa
abaaaababbaaaaa aabaababbaabaab
aabaababbaabaab aabbbbbabababab
aabbbbbabababab aaabbbbbbbbbbab
aaabbbbbbbbbbab ababbbababbbabb
ababbbababbbabb aababaabbbbaaab
aababaabbbbaaab ababaababbaaaab
ababaababbaaaab aaabbbbbbaaaaaa
aaabbbbbbaaaaaa abaabbbaabababb
abaabbbaabababb aabababaaababba
aabababaaababba aababbbabaabbbb
aababbbabaabbbb aabaaabbbabbbba
aabaaabbbabbbba ababaabaaaaabbb
ababaabaaaaabbb aaabaaabbbbabaa
aaabaaabbbbabaa abaaaabbaabaabb
abaaaabbaabaabb aaaabbabaaabbab
aaaabbabaaabbab aaabbaaaababbaa
aaabbaaaababbaa abaaabaaaaabaaa
abaaabaaaaabaaa abaabbabaababab
abaabbabaababab ababbabbaabaaaa
ababbabbaabaaaa aaabbaabbbbbbba
aaabbaabbbbbbba aabaabbabbaabba
aabaabbabbaabba aaaabaaabaabbaa
aaaabaaabaabbaa abababaabaaaabb
abababaabaaaabb aaaaaaaabbbaaaa
aaaaaaaabbbaaaa ababbabbbabaaab
ababbabbbabaaab abaabaabbabaaaa
abaabaabbabaaaa aabaaaabbbaabbb
aabaaaabbbaabbb ababbabbaaaaaba
ababbabbaaaaaba aabbabbabaabbba
aabbabbabaabbba ababaababababab
ababaababababab aaaaababaaaabba
aaaaababaaaabba aaaabbababaaabb
aaaabbababaaabb aabbbabbaabaaba
aabbbabbaabaaba aaaabbbabaabbab
aaaabbbabaabbab aabbbabbbbabaab
aabbbabbbbabaab aababaaaaaabbab
aababaaaaaabbab aabbaababbbabbb
aabbaababbbabbb aabbbbaaabbbabb
aabbbbaaabbbabb aaaaabaabbbabbb
aaaaabaabbbabbb aabbaaabbababab
aabbaaabbababab aaaaababaabbaaa
aaaaababaabbaaa aaaaabbabbaabaa
aaaaabbabbaabaa aaaabbaaaaaaabb
aaaabbaaaaaaabb aaaabaabbaabaab
aaaabaabbaabaab aababbbbaaaaabb
aababbbbaaaaabb aaaabbbabaaaaba
aaaabbbabaaaaba aaaabaaaaabaaab
aaaabaaaaabaaab ababababbbaabbb
ababababbbaabbb aaaabbaabbaaaaa
aaaabbaabbaaaaa abaaababaabaaab
abaaababaabaaab abaabaabbbbabba
abaabaabbbbabba aaaaabbbbabaaba
aaaaabbbbabaaba ababbaabbabbbba
ababbaabbabbbba abaabaabababbaa
abaabaabababbaa abaabbabbababba
abaabbabbababba aabbbbbbbaaabba
aabbbbbbbaaabba aaababbbaabbabb
aaababbbaabbabb abaababbaaaaaaa
abaababbaaaaaaa abaabbbabbbbabb
abaabbbabbbbabb ababaaaabbbabaa
ababaaaabbbabaa aaabaaabaabbabb
aaabaaabaabbabb aababaabbabaaaa
aababaabbabaaaa abaabaaababaaab
abaabaaababaaab aabbaaabbabbaab
aabbaaabbabbaab aabaabbbabbaaba
aabaabbbabbaaba aabbbaaaaaababb
aabbbaaaaaababb abababbbaaabaab
abababbbaaabaab aabbbaabaaaaaba
aabbbaabaaaaaba aaaabbbaaababaa
aaaabbbaaababaa aaaaaaabbbababb
aaaaaaabbbababb aaaaababaabaaaa
aaaaababaabaaaa ababaabbaabbbbb
ababaabbaabbbbb aababbaaabbbbaa
aababbaaabbbbaa aabaabaababbbaa
aabaabaababbbaa aaabbaaaaaaaaab
aaabbaaaaaaaaab aaaaaabbabaabba
aaaaaabbabaabba aababbaaabbbbba
aababbaaabbbbba abaababbabbbabb
abaababbabbbabb aabbaaaabbbabab
aabbaaaabbbabab aabaaaaabbaaaba
aabaaaaabbaaaba aabbabbaaabbaaa
aabbabbaaabbaaa ababaabbabbbaaa
ababaabbabbbaaa aabbababbababba
aabbababbababba aabaababbbababb
aabaababbbababb aaaababaababbba
aaaababaababbba aababbbbabbaaab
aababbbbabbaaab aabaaaabbaaaabb
aabaaaabbaaaabb abaabbaabbabbbb
abaabbaabbabbbb abaabaaabbaabbb
abaabaaabbaabbb aababaaabaabbaa
aababaaabaabbaa abaaabbabbbabbb
abaaabbabbbabbb aaaabbbbbabaaba
aaaabbbbbabaaba aabaaaaabbbbabb
aabaaaaabbbbabb aabababbbbbabaa
aabababbbbbabaa aababbababbabbb
aababbababbabbb aabbaaaababbbbb
aabbaaaababbbbb abaabababbaaaba
abaabababbaaaba aabbbbaababaabb
aabbbbaababaabb aabaaaabbbbabaa
aabaaaabbbbabaa abaaaabbabbbbbb
abaaaabbabbbbbb abaabbbbaababaa
abaabbbbaababaa ababaaabaaaaaab
ababaaabaaaaaab aaabaaaaababbaa
aaabaaaaababbaa aabbbaaabbbaaba
aabbbaaabbbaaba aabbbbbbbbababb
aabbbbbbbbababb abababbaaaababb
abababbaaaababb aabbabbbabbabab
aabbabbbabbabab aaaabbabbabaaaa
aaaabbabbabaaaa ababbbaabbbbaba
ababbbaabbbbaba aabbaabbbabbbba
aabbaabbbabbbba aabababaabbaaab
aabababaabbaaab ababaaaaaaaaaaa
ababaaaaaaaaaaa aabbababbbaaaab
aabbababbbaaaab aabaabbbabbbabb
aabaabbbabbbabb abaaaabbbabbaaa
abaaaabbbabbaaa aabaabababbbaba
aabaabababbbaba aaaaabaaaaaabab
aaaaabaaaaaabab abaaabbabbbbbbb
abaaabbabbbbbbb aabbaaaaababbbb
aabbaaaaababbbb aabbaabbabaaaaa
aabbaabbabaaaaa aabbbaaaabbabba
aabbbaaaabbabba abaabaaaaaabbba
abaabaaaaaabbba abaaabaababbbab
abaaabaababbbab aaaaaaabbabaaba
aaaaaaabbabaaba aabaaaababbbaaa
aabaaaababbbaaa aaaaabbbbbabbbb
aaaaabbbbbabbbb ababaabaaabbaaa
ababaabaaabbaaa abaaaaabbbabaaa
abaaaaabbbabaaa aaabbaaabbaabbb
aaabbaaabbaabbb abaabaaabababab
abaabaaabababab aaaaaaaabaaaaba
aaaaaaaabaaaaba ababbabababbbab
ababbabababbbab abaababbbbaaabb
abaababbbbaaabb aabbbbabaabbabb
aabbbbabaabbabb aaaaabbbbaaabaa
aaaaabbbbaaabaa abaababaaaaaaab
abaababaaaaaaab ababbaababababa
ababbaababababa abaabbbaaababaa
abaabbbaaababaa aabababbaaaabba
aabababbaaaabba abaaababbbaaaba
abaaababbbaaaba aabaaabbabaabaa
aabaaabbabaabaa ababbababaababa
ababbababaababa aabaaababbbbaaa
aabaaababbbbaaa aabbbabaaaaabbb
aabbbabaaaaabbb ababbaaaaabbaab
ababbaaaaabbaab aabbabbaaabaaab
aabbabbaaabaaab abaabababaabbaa
abaabababaabbaa abaaaaabbaabaab
abaaaaabbaabaab aaaabbabaabaaaa
aaaabbabaabaaaa aaaabaaabbbabab
aaaabaaabbbabab aaabababababaaa
aaabababababaaa abaaababaaaaabb
abaaababaaaaabb aaababaaabbbaba
aaababaaabbbaba aababbbaaabbabb
aababbbaaabbabb aabbbbabbababab
aabbbbabbababab aaaaaaaaaaaabbb
aaaaaaaaaaaabbb aaaaaabbaabbbbb
aaaaaabbaabbbbb aabbbbbbbbbbbba
aabbbbbbbbbbbba abaabbbbabbbabb
abaabbbbabbbabb ababbbaaaaaabab
ababbbaaaaaabab aabbbbbbbabbaaa
aabbbbbbbabbaaa ababbbaababbbab
ababbbaababbbab abababbaaabbaab
abababbaaabbaab aabbaaabbbbbaaa
aabbaaabbbbbaaa abaaaaabbbbbbba
abaaaaabbbbbbba aabaaabaaaaaabb
aabaaabaaaaaabb aababaabaaabbab
aababaabaaabbab ababbabaaabaabb
ababbabaaabaabb aabaaaaababbaba
aabaaaaababbaba aaaabbbababbaba
aaaabbbababbaba abaaaabbaaabbbb
abaaaabbaaabbbb ababaaabaabaaba
ababaaabaabaaba abaaaabbbbbbaba
abaaaabbbbbbaba aabababaababbbb
aabababaababbbb aababbaaabbbaab
aababbaaabbbaab aaabbabbbbaabbb
aaabbabbbbaabbb aaaabbbbaabbbab
aaaabbbbaabbbab ababbbaababbbbb
ababbbaababbbbb aabaaaabbaaaaab
aabaaaabbaaaaab aabaabbaabbaabb
aabaabbaabbaabb abaaaabaababaaa
abaaaabaababaaa abaababaabbbbab
abaababaabbbbab aabbababbabaabb
aabbababbabaabb ababbabbaababab
ababbabbaababab aaaabbaaabaaaab
aaaabbaaabaaaab aabaaaaababbabb
aabaaaaababbabb ababbabaabaabaa
ababbabaabaabaa abaaaababaabbbb
abaaaababaabbbb aaabbbaaaababbb
aaabbbaaaababbb aaaaabbbbabbaaa
aaaaabbbbabbaaa aaabaababbbbabb
aaabaababbbbabb aabababbabaaaaa
aabababbabaaaaa abaaabbbbababba
abaaabbbbababba aabbaaaabbaabbb
aabbaaaabbaabbb ababaaaabbaaaaa
ababaaaabbaaaaa aaabbaabbaaaaaa
aaabbaabbaaaaaa aaaaaabbbbaabbb
aaaaaabbbbaabbb abaabbaaaaaabbb
abaabbaaaaaabbb ababbaababbabbb
ababbaababbabbb abaaababaaaabab
abaaababaaaabab ababbaabbabbaab
ababbaabbabbaab ababbabaaaaaaab
ababbabaaaaaaab aabababaababbab
aabababaababbab abaaaaabbaaabbb
abaaaaabbaaabbb aababbabaababbb
aababbabaababbb ababaaaababbaab
ababaaaababbaab abaabbbbbabaaaa
abaabbbbbabaaaa aaaaababaaabbba
aaaaababaaabbba aabbbabbabaabbb
aabbbabbabaabbb aabbbbabaaabbbb
aabbbbabaaabbbb aaaabbbaabbaabb
aaaabbbaabbaabb aababaabaaaaabb
aababaabaaaaabb aababbaabbbaaba
aababbaabbbaaba aabaaaabbbbbaab
aabaaaabbbbbaab aabbabbabbbbbaa
aabbabbabbbbbaa aabaabbababbbba
aabaabbababbbba abaabbbbbababbb
abaabbbbbababbb aabbbbababbabba
aabbbbababbabba abaabaabbbbbaba
abaabaabbbbbaba abaaababbababbb
abaaababbababbb abaababbbabaaba
abaababbbabaaba abaabaaababbaba
abaabaaababbaba abaaaaabababaaa
abaaaaabababaaa aaabaabbbaabbab
aaabaabbbaabbab aaabbaaabbaabba
aaabbaaabbaabba aabaaabbbbbaaab
aabaaabbbbbaaab abaabbaababbbbb
abaabbaababbbbb aaaaaabababbbbb
aaaaaabababbbbb aabbaaabbabaaab
aabbaaabbabaaab aaabbbabaababba
aaabbbabaababba aaabbbababbabab
aaabbbababbabab abaabbabaabbbaa
abaabbabaabbbaa aaabbaaabaaaaab
aaabbaaabaaaaab aaaababababbaba
aaaababababbaba aaaaaaaabbaaaaa
aaaaaaaabbaaaaa abababaabbbaabb
abababaabbbaabb aabaaaaaaaabbaa
aabaaaaaaaabbaa ababbbabbaababb
ababbbabbaababb ababbbaaabbbbaa
ababbbaaabbbbaa aabbabbbabbbbab
aabbabbbabbbbab aaababaaabbaaab
aaababaaabbaaab aabbbabbbbbaaaa
aabbbabbbbbaaaa aaaabbbabbbaaab
aaaabbbabbbaaab ababaaaaabbbaba
ababaaaaabbbaba aababbbabbabbbb
aababbbabbabbbb abababbaaaabaaa
abababbaaaabaaa aabbbaaaabbbbab
aabbbaaaabbbbab aaaaaababbabbba
aaaaaababbabbba aaababbaabbabba
aaababbaabbabba abababaababbaba
abababaababbaba aaabbaaabaaabaa
aaabbaaabaaabaa abababbbabbbbbb
abababbbabbbbbb aabaabaabaaaabb
aabaabaabaaaabb aabbaabaaabbbaa
aabbaabaaabbbaa aabaabbababbbaa
aabaabbababbbaa ababbaaaaaabbab
ababbaaaaaabbab aaaababbaabbbaa
aaaababbaabbbaa aaaabbaabaabbba
aaaabbaabaabbba aabbaaabbabaabb
aabbaaabbabaabb aabbaabbbabbbbb
aabbaabbbabbbbb aabbbabaabbabaa
aabbbabaabbabaa aaababbababbbab
aaababbababbbab abababbbabaaaba
abababbbabaaaba aabababbbaababa
aabababbbaababa aabbaabbbaaabbb
aabbaabbbaaabbb aabbaabbabbaaaa
aabbaabbabbaaaa abaaabababbbbbb
abaaabababbbbbb aabbbbaaabababb
aabbbbaaabababb ababbabbaabbbbb
ababbabbaabbbbb aabbababaabbaab
aabbababaabbaab aabbbababaabbab
aabbbababaabbab abaabababababab
abaabababababab aabbabbbbababbb
aabbabbbbababbb abaaababbabbbab
abaaababbabbbab aabaaaaabababab
aabaaaaabababab abaababbbabbaaa
abaababbbabbaaa aaababaaaabbaab
aaababaaaabbaab aabababbababbbb
aabababbababbbb aababababababbb
aababababababbb abaaaaabbabbaaa
abaaaaabbabbaaa aabbaabbabaaaab
aabbaabbabaaaab aabbbbbbaabbaba
aabbbbbbaabbaba aabbbbaaabbbbbb
aabbbbaaabbbbbb aaaaaabbbbbaaaa
aaaaaabbbbbaaaa abaabbabbbbbaaa
abaabbabbbbbaaa aaaaabaaabababa
aaaaabaaabababa aaabaaabbaaaaba
aaabaaabbaaaaba aababababbaaaab
aababababbaaaab aabaababbababab
aabaababbababab aaabbbababbaaba
aaabbbababbaaba aabbbabbaabbbbb
aabbbabbaabbbbb abaabaababbaaba
abaabaababbaaba abaabbbabaabbbb
abaabbbabaabbbb aaaaabbbabaaaaa
aaaaabbbabaaaaa abababaaabbbbbb
abababaaabbbbbb aaaaabaabababbb
aaaaabaabababbb aaabbbaabaabaab
aaabbbaabaabaab aabababaaabaaba
aabababaaabaaba abaababbbbbbaab
abaababbbbbbaab aabaabbbaabbbbb
aabaabbbaabbbbb aabaabaabbabaab
aabaabaabbabaab aaaababbaabbaab
aaaababbaabbaab aabbbaabbaaaaba
aabbbaabbaaaaba aaabbbaabaabaaa
aaabbbaabaabaaa aaaababbbbbbaaa
aaaababbbbbbaaa aaabbabaabbaaaa
aaabbabaabbaaaa abababaabbbabbb
abababaabbbabbb aabaaabbbabbbab
aabaaabbbabbbab aabbbbaaabbaaaa
aabbbbaaabbaaaa abaaaabbbbbbbbb
abaaaabbbbbbbbb aaabbbabbbababb
aaabbbabbbababb aaabbbbbbbaaaab
aaabbbbbbbaaaab aabaaabaaaabaab
aabaaabaaaabaab aabbaaaaaaabaaa
aabbaaaaaaabaaa aababaabaaaabab
aababaabaaaabab aaaabbbbbbaaabb
aaaabbbbbbaaabb aababbbbbaaabba
aababbbbbaaabba aaaaaabbabaaaab
aaaaaabbabaaaab aaababbbbbbaabb
aaababbbbbbaabb aaabbabaaaaabbb
aaabbabaaaaabbb abaaaaaabaaabaa
abaaaaaabaaabaa aaaaaaababaabba
aaaaaaababaabba abababbababbaab
abababbababbaab abaaabbbbbabaab
abaaabbbbbabaab aabbbbbbbabaaab
aabbbbbbbabaaab aaabbbaabaaaaab
aaabbbaabaaaaab abaababbbbaabbb
abaababbbbaabbb abaaaaababbaaab
abaaaaababbaaab aaabbaababbbaab
aaabbaababbbaab aabbbaaababbaab
aabbbaaababbaab aabababaaabbbbb
aabababaaabbbbb aabbbbabbbbbaba
aabbbbabbbbbaba aaaaababaababba
aaaaababaababba aaaabbabaababab
aaaabbabaababab aabaaaaabbbbbaa
aabaaaaabbbbbaa aabbbabbaaabaab
aabbbabbaaabaab aaabbbaabababab
aaabbbaabababab aabbaabbbababba
aabbaabbbababba aaaabbbaaabbbaa
aaaabbbaaabbbaa ababbaabbaaabba
ababbaabbaaabba ababbbaababaaab
ababbbaababaaab aabbbaaaaaaaaba
aabbbaaaaaaaaba abaaaaaabaaabba
abaaaaaabaaabba aabaaababbabbba
aabaaababbabbba aabaaabbbbaabba
